mode,issue_hour,lead_hour_bin,subset,points,independent_days,crps,coverage,width,interval_score,mae,raw_mae,center_mae,rmse,raw_rmse,center_rmse
binned,6,9,daylight,2004,334,268.21801574943896,0.8547904191616766,1450.419175875474,2106.936892747959,368.3204938844319,361.72139524284745,360.08222987718,465.07530845441255,451.2651832074555,451.1082315657915
binned,6,10,all,2004,334,210.00782181546168,0.8562874251497006,1122.3915094596457,1583.258495420635,290.46960634585326,295.3649556470392,288.5958472141553,366.63713953213585,366.6194413858555,359.4997674531931
binned,6,10,daylight,2004,334,210.00782181546168,0.8562874251497006,1122.3915094596457,1583.258495420635,290.46960634585326,295.3649556470392,288.5958472141553,366.63713953213585,366.6194413858555,359.4997674531931
binned,6,11,all,2004,334,130.5001955352813,0.840818363273453,697.9860304162422,1010.3754311458574,179.8014343219429,214.29423977877585,190.98503200552628,237.81716305812895,267.7967283316946,245.36579657988935
binned,6,11,daylight,1984,334,131.66326527865309,0.8417338709677419,704.5296630356281,1019.4361210475959,181.37493911424662,215.13511617103492,191.8885029611378,238.99522461640296,268.81914290284317,246.37915923152093
binned,6,11,zero_pv,20,20,15.123676992805233,0.75,48.857674573166946,111.55499289338131,23.70975892542193,130.8793016666662,101.36071320886089,28.895329687286775,131.48997767080792,103.78549838204823
binned,6,12,all,2004,334,67.88055483271042,0.8133732534930139,339.6366535301041,535.7396769167049,91.51007951175816,178.28255054890212,135.37807700534103,136.05766059218664,223.5688954732212,183.46203343570744
binned,6,12,daylight,1582,334,82.04351120261782,0.7895069532237674,420.0487709694519,648.755596417095,110.0955885033678,195.98857569532245,154.35585511322031,150.76146607229083,236.7802689783191,197.29535043597627
binned,6,12,zero_pv,422,152,14.78624919955062,0.9028436018957346,38.186488153212586,112.06388390813429,21.83644153847264,111.9059349526066,64.23389461987934,51.977749290131484,164.8737067320908,117.9525007338839
binned,6,13,all,2004,334,19.3791119316265,0.7350299401197605,77.09868288870531,155.48515571278497,27.03837328655751,93.9698541417166,81.12517065128822,53.08060985735038,148.8957764807602,132.59209371808078
binned,6,13,daylight,1024,334,30.220211836313645,0.6962890625,133.8619882382993,242.45098779635003,42.137758336291014,140.13445051269542,122.38178367620658,65.53804394145952,185.51467121980176,165.41837144498632
binned,6,13,zero_pv,980,314,8.051268765912623,0.7755102040816326,17.786820972394747,64.61473524995806,11.261056663162492,45.73256160714284,38.01621989872032,35.68644116935255,96.82149808257034,85.7838644511338
binned,6,14,all,2004,334,0.20240405289491895,0.8273453093812375,0.5193484801407574,1.468723429182708,0.2889610393068486,0.24838395708582828,0.412250594073949,0.5949380150076818,0.8993454266010403,0.8877409942463524
binned,6,14,daylight,473,268,0.3492698657456919,0.6257928118393234,0.8458858383446487,2.7224389994247638,0.45395517036170246,0.6269903805496828,0.8332952626881014,0.8547962000750843,1.2783924983794255,1.5006632972945824
binned,6,14,zero_pv,1531,334,0.15703009503834434,0.8896146309601568,0.4184652858687521,1.0813900100288911,0.23798636655116903,0.13141410842586546,0.2821695174870812,0.4874039008042278,0.7441747434883079,0.5794933794148465
binned,6,15,all,2004,334,0.10940425608604813,0.8622754491017964,0.20995207990946335,0.7637620782368337,0.1501067394088946,0.0008088822355289424,0.2516898655310347,0.3496661214058125,0.0035939903265125614,0.5494364191682279
binned,6,15,daylight,199,140,0.003507991248416749,0.5477386934673367,0.007997603322964788,0.027215942295642892,0.004449158437449872,0.008145728643216084,0.008145728643216084,0.006491682172345266,0.011405103327438456,0.011405103327438456
binned,6,15,zero_pv,1805,334,0.12107924594903352,0.8969529085872576,0.232217421095454,0.8449657796508487,0.16616538684009546,0.0,0.27854043796354205,0.3684311820098166,0.0,0.5789198049570833
binned,6,16,all,2004,334,0.10893764355424392,0.9101796407185628,0.2083712321341616,0.760154029373337,0.1494003087065337,0.0,0.2508809832955057,0.3496573093326279,0.0,0.5494246644827092
